n_views,geometry_class,noise_std,n_drones,focal_px,standoff_m,coverage_pct,n_matched,recall,ghost_count,precision,f1,median_err_m,median_err_std,p95_err_m,frame_idx,match_threshold_m,min_spacing,epipolar_threshold_px,intersection_n,intersection_median_err_m
2,all_ground,0.0,5,2666.6666666666665,2000.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
2,all_ground,1.0,5,2666.6666666666665,2000.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
2,all_ground,3.0,5,2666.6666666666665,2000.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
4,all_ground,0.0,5,2666.6666666666665,2000.0,30.0,1.0,0.2,0.0,1.0,0.3333,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
4,all_ground,1.0,5,2666.6666666666665,2000.0,30.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
4,all_ground,3.0,5,2666.6666666666665,2000.0,30.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
6,all_ground,0.0,5,2666.6666666666665,2000.0,23.3,2.0,0.4,0.0,1.0,0.5714,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
6,all_ground,1.0,5,2666.6666666666665,2000.0,23.3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
6,all_ground,3.0,5,2666.6666666666665,2000.0,23.3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
8,all_ground,0.0,5,2666.6666666666665,2000.0,35.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
8,all_ground,1.0,5,2666.6666666666665,2000.0,35.0,4.0,0.8,1.0,0.8,0.8,1.2172,0.0,1.3578,0,1.5,3.0,3.0,0,1.2172
8,all_ground,3.0,5,2666.6666666666665,2000.0,35.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
10,all_ground,0.0,5,2666.6666666666665,2000.0,30.0,4.0,0.8,0.0,1.0,0.8889,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
10,all_ground,1.0,5,2666.6666666666665,2000.0,30.0,1.0,0.2,3.0,0.25,0.2222,0.7946,0.0,0.7946,0,1.5,3.0,3.0,0,0.7946
10,all_ground,3.0,5,2666.6666666666665,2000.0,30.0,1.0,0.2,4.0,0.2,0.2,0.837,0.0,0.837,0,1.5,3.0,3.0,0,0.837
12,all_ground,0.0,5,2666.6666666666665,2000.0,28.3,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
12,all_ground,1.0,5,2666.6666666666665,2000.0,28.3,1.0,0.2,4.0,0.2,0.2,0.6389,0.0,0.6389,0,1.5,3.0,3.0,0,0.6389
12,all_ground,3.0,5,2666.6666666666665,2000.0,28.3,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
2,mixed,0.0,5,2666.6666666666665,2000.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
2,mixed,1.0,5,2666.6666666666665,2000.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
2,mixed,3.0,5,2666.6666666666665,2000.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
4,mixed,0.0,5,2666.6666666666665,2000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
4,mixed,1.0,5,2666.6666666666665,2000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
4,mixed,3.0,5,2666.6666666666665,2000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
6,mixed,0.0,5,2666.6666666666665,2000.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
6,mixed,1.0,5,2666.6666666666665,2000.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
6,mixed,3.0,5,2666.6666666666665,2000.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
8,mixed,0.0,5,2666.6666666666665,2000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
8,mixed,1.0,5,2666.6666666666665,2000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
8,mixed,3.0,5,2666.6666666666665,2000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
10,mixed,0.0,5,2666.6666666666665,2000.0,4.0,1.0,0.2,0.0,1.0,0.3333,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
10,mixed,1.0,5,2666.6666666666665,2000.0,4.0,1.0,0.2,0.0,1.0,0.3333,1.2615,0.0,1.2615,0,1.5,3.0,3.0,0,1.2615
10,mixed,3.0,5,2666.6666666666665,2000.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
12,mixed,0.0,5,2666.6666666666665,2000.0,3.3,1.0,0.2,0.0,1.0,0.3333,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
12,mixed,1.0,5,2666.6666666666665,2000.0,3.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
12,mixed,3.0,5,2666.6666666666665,2000.0,3.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
2,surround,0.0,5,2666.6666666666665,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
2,surround,1.0,5,2666.6666666666665,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
2,surround,3.0,5,2666.6666666666665,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
4,surround,0.0,5,2666.6666666666665,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
4,surround,1.0,5,2666.6666666666665,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
4,surround,3.0,5,2666.6666666666665,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
6,surround,0.0,5,2666.6666666666665,2000.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
6,surround,1.0,5,2666.6666666666665,2000.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
6,surround,3.0,5,2666.6666666666665,2000.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
8,surround,0.0,5,2666.6666666666665,2000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
8,surround,1.0,5,2666.6666666666665,2000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
8,surround,3.0,5,2666.6666666666665,2000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
10,surround,0.0,5,2666.6666666666665,2000.0,6.0,1.0,0.2,0.0,1.0,0.3333,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
10,surround,1.0,5,2666.6666666666665,2000.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
10,surround,3.0,5,2666.6666666666665,2000.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
12,surround,0.0,5,2666.6666666666665,2000.0,5.0,1.0,0.2,0.0,1.0,0.3333,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
12,surround,1.0,5,2666.6666666666665,2000.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
12,surround,3.0,5,2666.6666666666665,2000.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
