n_views,geometry_class,noise_std,n_drones,focal_px,standoff_m,coverage_pct,n_matched,recall,ghost_count,precision,f1,median_err_m,median_err_std,p95_err_m,frame_idx,match_threshold_m,min_spacing,epipolar_threshold_px,intersection_n,intersection_median_err_m
2,all_ground,0.0,5,2666.6666666666665,2000.0,100.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
2,all_ground,1.0,5,2666.6666666666665,2000.0,100.0,2.0,0.4,3.0,0.4,0.4,1.355,0.088,1.3905,0,1.5,3.0,3.0,0,0.0
2,all_ground,3.0,5,2666.6666666666665,2000.0,100.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
4,all_ground,0.0,5,2666.6666666666665,2000.0,100.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
4,all_ground,1.0,5,2666.6666666666665,2000.0,100.0,5.0,1.0,0.0,1.0,1.0,0.7336,0.0599,0.9459,0,1.5,3.0,3.0,0,0.0
4,all_ground,3.0,5,2666.6666666666665,2000.0,100.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
6,all_ground,0.0,5,2666.6666666666665,2000.0,100.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
6,all_ground,1.0,5,2666.6666666666665,2000.0,100.0,5.0,1.0,0.0,1.0,1.0,0.6177,0.0097,0.8384,0,1.5,3.0,3.0,0,0.0
6,all_ground,3.0,5,2666.6666666666665,2000.0,100.0,1.5,0.3,4.5,0.25,0.2727,0.861,0.1429,0.8989,0,1.5,3.0,3.0,0,0.0
8,all_ground,0.0,5,2666.6666666666665,2000.0,100.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
8,all_ground,1.0,5,2666.6666666666665,2000.0,100.0,5.0,1.0,0.0,1.0,1.0,0.4963,0.0379,0.6354,0,1.5,3.0,3.0,0,0.0
8,all_ground,3.0,5,2666.6666666666665,2000.0,100.0,2.0,0.4,3.0,0.4,0.4,0.9777,0.0368,1.1861,0,1.5,3.0,3.0,0,0.0
10,all_ground,0.0,5,2666.6666666666665,2000.0,100.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
